prize,category,year,status,title,author
Agatha,Best First Novel,1988,Winner,A Great Deliverance,Elizabeth George
Agatha,Best First Novel,1988,Nominee,The Killings at Badger's Drift,Caroline Graham
Agatha,Best First Novel,1988,Nominee,The J. Alfred Prufrock Murders,Corinne Holt Sawyer
Agatha,Best First Novel,1988,Nominee,Goodbye Nanny Grey,Susannah Stacey
Agatha,Best First Novel,1988,Nominee,Dead Men Don't Give Seminars,Dorothy Sucher
Agatha,Best First Novel,1989,Winner,Grime and Punishment,Jill Churchill
Agatha,Best First Novel,1989,Nominee,Working Murder,Eleanor Boylan
Agatha,Best First Novel,1989,Nominee,A Question of Guilt,Frances Fyfield
Agatha,Best First Novel,1989,Nominee,The Mother Shadow,Melanie Johnson Howe
Agatha,Best First Novel,1989,Nominee,The Mark Twain Murders,Edith Skom
Agatha,Best First Novel,1990,Winner,The Body in the Belfry,Katherine Hall Page
Agatha,Best First Novel,1990,Nominee,Screaming Bones,Pat Burden
Agatha,Best First Novel,1990,Nominee,The Chartreuse Clue,William F. Love
Agatha,Best First Novel,1990,Nominee,Catering to Nobody,Diane Mott Davidson
Agatha,Best First Novel,1990,Nominee,Sea of Troubles,Janet L. Smith
Agatha,Best First Novel,1991,Winner,Zero at the Bone,Mary Willis Walker
Agatha,Best First Novel,1991,Nominee,Carpool,Mary Cahill
Agatha,Best First Novel,1991,Nominee,Just Desserts,Mary Daheim
Agatha,Best First Novel,1991,Nominee,The Bulrush Murders,Rebecca Rothenberg
Agatha,Best First Novel,1991,Nominee,Flowers for the Dead,Ann Williams
Agatha,Best First Novel,1992,Winner,Blanche on the Lam,Barbara Neely
Agatha,Best First Novel,1992,Nominee,All the Great Pretenders,Deborah Adams
Agatha,Best First Novel,1992,Nominee,Decked,Carol Higgins Clark
Agatha,Best First Novel,1992,Nominee,Seneca Falls Inheritance,Miriam Grace Monfredo
Agatha,Best First Novel,1992,Nominee,Thyme of Death,Susan Wittig Albert
Agatha,Best First Novel,1993,Winner,Track of the Cat,Nevada Barr
Agatha,Best First Novel,1993,Nominee,"Goodnight, Irene",Jan Burke
Agatha,Best First Novel,1993,Nominee,A Share in Death,Deborah Crombie
Agatha,Best First Novel,1993,Nominee,Death Comes as Ephiphany,Sharan Newman
