prize,category,year,status,title,author
Booker,Fiction,2023,Winner,Prophet Song,Paul Lynch
Booker,Fiction,2022,Winner,The Seven Moons of Maali Almeida,Shehan Karunatilaka
Booker,Fiction,2021,Winner,The Promise,Damon Galgut
Booker,Fiction,2020,Winner,Shuggie Bain,Douglas Stuart
Booker,Fiction,2019,Winner,The Testaments,Margaret Atwood
Booker,Fiction,2019,Winner,"Girl, Woman, Other",Bernardine Evaristo
Booker,Fiction,2018,Winner,Milkman,Anna Burns
Booker,Fiction,2017,Winner,Lincoln in the Bardo,George Saunders
Booker,Fiction,2016,Winner,The Sellout,Paul Beatty
Booker,Fiction,2015,Winner,A Brief History of Seven Killings,Marlon James
Booker,Fiction,2014,Winner,The Narrow Road to the Deep North,Richard Flanagan
Booker,Fiction,2013,Winner,The Luminaries,Eleanor Catton
Booker,Fiction,2012,Winner,Bring Up the Bodies,Hilary Mantel
Booker,Fiction,2011,Winner,The Sense of an Ending,Julian Barnes
Booker,Fiction,2009,Winner,Wolf Hall,Hilary Mantel
Booker,Fiction,2007,Winner,The Gathering,Anne Enright
Booker,Fiction,2006,Winner,The Inheritance of Loss,Kiran Desai
Booker,Fiction,2005,Winner,The Sea,John Banville
Booker,Fiction,2004,Winner,The Line of Beauty,Alan Hollinghurst
Booker,Fiction,2002,Winner,Life of Pi,Yann Martel
Booker,Fiction,2001,Winner,True History of the Kelly Gang,Peter Carey
Booker,Fiction,2000,Winner,The Blind Assassin,Margaret Atwood
Booker,Fiction,1999,Winner,Disgrace,J. M. Coetzee
Booker,Fiction,1997,Winner,The God of Small Things,Arundhati Roy
Booker,Fiction,1996,Winner,Last Orders,Graham Swift
Booker,Fiction,1994,Winner,"How Late It Was, How Late",James Kelman
Booker,Fiction,1992,Winner,The English Patient,Michael Ondaatje
Booker,Fiction,1992,Winner,Sacred Hunger,Barry Unsworth
Booker,Fiction,1990,Winner,Possession,A. S. Byatt
Booker,Fiction,1989,Winner,The Remains of the Day,Kazuo Ishiguro
Booker,Fiction,1988,Winner,Oscar and Lucinda,Peter Carey
Booker,Fiction,1986,Winner,The Old Devils,Kingsley Amis
Booker,Fiction,1985,Winner,The Bone People,Keri Hulme
Booker,Fiction,1984,Winner,Hotel du Lac,Anita Brookner
Booker,Fiction,1983,Winner,Life & Times of Michael K,J. M. Coetzee
Booker,Fiction,1982,Winner,Schindler's Ark,Thomas Keneally
Booker,Fiction,1981,Winner,Midnight's Children,Salman Rushdie
Booker,Fiction,1980,Winner,Rites of Passage,William Golding
Booker,Fiction,1979,Winner,Offshore,Penelope Fitzgerald
Booker,Fiction,1978,Winner,"The Sea, the Sea",Iris Murdoch
Booker,Fiction,1976,Winner,Saville,David Storey
Booker,Fiction,1974,Winner,Holiday,Stanley Middleton
Booker,Fiction,1974,Winner,The Conservationist,Nadine Gordimer
Booker,Fiction,1972,Winner,G.,John Berger
Booker,Fiction,1969,Winner,Something to Answer For,P. H. Newby
Booker,Fiction,2025,Nominee,The South,Tash Aw
Booker,Fiction,2025,Nominee,Audition,Katie Kitamura
Booker,Fiction,2025,Nominee,The Loneliness of Sonia and Sunny,Kiran Desai
Booker,Fiction,2025,Nominee,Love Forms,Claire Adam
Booker,Fiction,2025,Nominee,Endling,Maria Reva
Booker,Fiction,2025,Nominee,The South,Tash Aw
Booker,Fiction,2025,Nominee,The Rest of Our Lives,Benjamin Markovits
Booker,Fiction,2025,Nominee,The Land in Winter,Andrew Miller
Booker,Fiction,2025,Nominee,Seascraper,Benjamin Wood
Booker,Fiction,2023,Nominee,Study for Obedience,Sarah Bernstein
Booker,Fiction,2023,Nominee,The Bee Sting,Paul Murray
Booker,Fiction,2023,Nominee,Western Lane,Chetna Maroo
Booker,Fiction,2022,Nominee,Maps of Our Spectacular Bodies,Maddie Mortimer
Booker,Fiction,2022,Nominee,Case Study,Graeme Macrae Burnet
Booker,Fiction,2022,Nominee,Nightcrawling,Leila Mottley
Booker,Fiction,2022,Nominee,Trust,Hernán Díaz
Booker,Fiction,2022,Nominee,Treacle Walker,Alan Garner
Booker,Fiction,2022,Nominee,Booth,Karen Joy Fowler
Booker,Fiction,2022,Nominee,After Sappho,Selby Wynn Schwartz
Booker,Fiction,2022,Nominee,The Colony,Audrey Magee
Booker,Fiction,2022,Nominee,Oh William!,Elizabeth Strout
Booker,Fiction,2022,Nominee,Glory,NoViolet Bulawayo
Booker,Fiction,2022,Nominee,Small Things Like These,Claire Keegan
Booker,Fiction,2022,Nominee,The Trees,Percival Everett
Booker,Fiction,2021,Nominee,An Island,Karen Jennings
Booker,Fiction,2021,Nominee,China Room,Sunjeev Sahota
Booker,Fiction,2021,Nominee,Light Perpetual,Francis Spufford
Booker,Fiction,2021,Nominee,No One Is Talking About This,Patricia Lockwood
Booker,Fiction,2021,Nominee,Klara and the Sun,Kazuo Ishiguro
Booker,Fiction,2021,Nominee,A Town Called Solace,Mary Lawson
Booker,Fiction,2021,Nominee,Bewilderment,Richard Powers
Booker,Fiction,2021,Nominee,Great Circle,Maggie Shipstead
Booker,Fiction,2021,Nominee,A Passage North,Anuk Arudpragasam
Booker,Fiction,2021,Nominee,The Fortune Men,Nadifa Mohamed
Booker,Fiction,2021,Nominee,Second Place,Rachel Cusk
Booker,Fiction,2021,Nominee,The Sweetness of Water,Nathan Harris
Booker,Fiction,2020,Nominee,The Mirror and the Light,Hilary Mantel
Booker,Fiction,2020,Nominee,The New Wilderness,Diane Cook
Booker,Fiction,2020,Nominee,This Mournable Body,Tsitsi Dangarembga
Booker,Fiction,2020,Nominee,Who They Was,Gabriel Krauze
Booker,Fiction,2020,Nominee,Redhead by the Side of The Road,Anne Tyler
Booker,Fiction,2020,Nominee,Love and Other Thought Experiments,Sophie Ward
Booker,Fiction,2020,Nominee,Such a Fun Age,Kiley Reid
Booker,Fiction,2020,Nominee,Apeirogon,Colum McCann
Booker,Fiction,2020,Nominee,Real Life,Brandon Taylor
