prize,category,year,status,title,author
Arthur C. Clarke,Best Novel,2024,Winner,In Ascension,Martin MacInnes
Arthur C. Clarke,Best Novel,2023,Winner,Venomous Lumpsucker,Ned Beauman
Arthur C. Clarke,Best Novel,2022,Winner,Deep Wheel Orcadia,Harry Josephine Giles
Arthur C. Clarke,Best Novel,2021,Winner,The Animals in That Country,Laura Jean McKay
Arthur C. Clarke,Best Novel,2020,Winner,The Old Drift,Namwali Serpell
Arthur C. Clarke,Best Novel,2019,Winner,Rosewater,Tade Thompson
Arthur C. Clarke,Best Novel,2018,Winner,Dreams Before the Start of Time,Anne Charnock
Arthur C. Clarke,Best Novel,2017,Winner,The Underground Railroad,Colson Whitehead
Arthur C. Clarke,Best Novel,2016,Winner,Children of Time,Adrian Tchaikovsky
Arthur C. Clarke,Best Novel,2015,Winner,Station Eleven,Emily St. John Mandel
Arthur C. Clarke,Best Novel,2014,Winner,Ancillary Justice,Ann Leckie
Arthur C. Clarke,Best Novel,2013,Winner,Dark Eden,Chris Beckett
Arthur C. Clarke,Best Novel,2012,Winner,The Testament of Jessie Lamb,Jane Rogers
Arthur C. Clarke,Best Novel,2011,Winner,Zoo City,Lauren Beukes
Arthur C. Clarke,Best Novel,2010,Winner,The City & the City,China Miéville
Arthur C. Clarke,Best Novel,2009,Winner,Song of Time,Ian R. MacLeod
Arthur C. Clarke,Best Novel,2008,Winner,Black Man,Richard Morgan
Arthur C. Clarke,Best Novel,2007,Winner,Nova Swing,M. John Harrison
Arthur C. Clarke,Best Novel,2006,Winner,Air,Geoff Ryman
Arthur C. Clarke,Best Novel,2005,Winner,Iron Council,China Miéville
Arthur C. Clarke,Best Novel,2004,Winner,Quicksilver,Neal Stephenson
Arthur C. Clarke,Best Novel,2003,Winner,The Separation,Christopher Priest
Arthur C. Clarke,Best Novel,2002,Winner,Bold as Love,Gwyneth Jones
Arthur C. Clarke,Best Novel,2001,Winner,Perdido Street Station,China Miéville
Arthur C. Clarke,Best Novel,2000,Winner,Distraction,Bruce Sterling
Arthur C. Clarke,Best Novel,1999,Winner,Dreaming in Smoke,Tricia Sullivan
Arthur C. Clarke,Best Novel,1998,Winner,The Sparrow,Mary Doria Russell
Arthur C. Clarke,Best Novel,1997,Winner,The Calcutta Chromosome,Amitav Ghosh
Arthur C. Clarke,Best Novel,1996,Winner,Fairyland,Paul J. McAuley
Arthur C. Clarke,Best Novel,1995,Winner,Fools,Pat Cadigan
Arthur C. Clarke,Best Novel,1994,Winner,Vurt,Jeff Noon
Arthur C. Clarke,Best Novel,1993,Winner,"He, She and It",Marge Piercy
Arthur C. Clarke,Best Novel,1992,Winner,Synners,Pat Cadigan
Arthur C. Clarke,Best Novel,1991,Winner,Take Back Plenty,Colin Greenland
Arthur C. Clarke,Best Novel,1990,Winner,The Child Garden,Geoff Ryman
Arthur C. Clarke,Best Novel,1989,Winner,Unquenchable Fire,Rachel Pollack
Arthur C. Clarke,Best Novel,1988,Winner,The Sea and Summer,George Turner
Arthur C. Clarke,Best Novel,1987,Winner,The Handmaid's Tale,Margaret Atwood
Arthur C. Clarke,Best Novel,2025,Nominee,The Ministry of Time,Kaliane Bradley
Arthur C. Clarke,Best Novel,2025,Nominee,Private Rites,Julia Armfield
Arthur C. Clarke,Best Novel,2025,Nominee,Extremophile,Ian Green
Arthur C. Clarke,Best Novel,2025,Nominee,Thirteen Ways to Kill Lulabelle Rock,Maud Woolf
Arthur C. Clarke,Best Novel,2025,Nominee,Annie Bot,Caragh M. O'Brien
Arthur C. Clarke,Best Novel,2024,Nominee,The Mountain in the Sea,Ray Nayler
Arthur C. Clarke,Best Novel,2024,Nominee,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah
Arthur C. Clarke,Best Novel,2024,Nominee,Corey Fah Does Social Mobility,Isabel Waidner
Arthur C. Clarke,Best Novel,2024,Nominee,Analog/Virtual and Other Simulations of Your Future,Lavanya Lakshminarayan
Arthur C. Clarke,Best Novel,2023,Nominee,The Anomaly,Hervé Le Tellier
Arthur C. Clarke,Best Novel,2023,Nominee,The Red Scholar's Wake,Aliette de Bodard
Arthur C. Clarke,Best Novel,2023,Nominee,The Coral Bones,E. J. Swift
Arthur C. Clarke,Best Novel,2023,Nominee,Plutoshine,Lucy Kissick
Arthur C. Clarke,Best Novel,2023,Nominee,Metronome,Tom Watson
Arthur C. Clarke,Best Novel,2022,Nominee,Klara and the Sun,Kazuo Ishiguro
Arthur C. Clarke,Best Novel,2022,Nominee,A Desolation Called Peace,Arkady Martine
Arthur C. Clarke,Best Novel,2022,Nominee,Skyward Inn,Aliya Whiteley
Arthur C. Clarke,Best Novel,2022,Nominee,A River Called Time,Courttia Newland
Arthur C. Clarke,Best Novel,2022,Nominee,Wergen: The Alien Love War,Mercurio D. Rivera
Arthur C. Clarke,Best Novel,2021,Nominee,The Vanished Birds,Simon Jimenez
Arthur C. Clarke,Best Novel,2021,Nominee,Vagabonds,Hao Jingfang
Arthur C. Clarke,Best Novel,2021,Nominee,Chilling Effect,Valerie Valdes
Arthur C. Clarke,Best Novel,2021,Nominee,The Infinite,Patience Agbabi
Arthur C. Clarke,Best Novel,2020,Nominee,The Light Brigade,Kameron Hurley
Arthur C. Clarke,Best Novel,2020,Nominee,A Memory Called Empire,Arkady Martine
Arthur C. Clarke,Best Novel,2020,Nominee,The City in the Middle of the Night,Charlie Jane Anders
Arthur C. Clarke,Best Novel,2020,Nominee,The Last Astronaut,David Wellington
Arthur C. Clarke,Best Novel,2020,Nominee,Cage of Souls,Adrian Tchaikovsky
Arthur C. Clarke,Best Novel,2019,Nominee,Frankenstein in Baghdad,Ahmed Saadawi
Arthur C. Clarke,Best Novel,2019,Nominee,Revenant Gun,Yoon Ha Lee
Arthur C. Clarke,Best Novel,2019,Nominee,Semiosis,Sue Burke
Arthur C. Clarke,Best Novel,2019,Nominee,The Loosening Skin,Aliya Whiteley
Arthur C. Clarke,Best Novel,2019,Nominee,The Electric State,Simon Stålenhag
Arthur C. Clarke,Best Novel,2018,Nominee,Borne,Jeff VanderMeer
Arthur C. Clarke,Best Novel,2018,Nominee,American War,Omar El Akkad
Arthur C. Clarke,Best Novel,2018,Nominee,Spaceman of Bohemia,Jaroslav Kalfař
Arthur C. Clarke,Best Novel,2018,Nominee,Gather the Daughters,Jennie Melamed
Arthur C. Clarke,Best Novel,2017,Nominee,A Closed and Common Orbit,Becky Chambers
Arthur C. Clarke,Best Novel,2017,Nominee,Central Station,Lavie Tidhar
Arthur C. Clarke,Best Novel,2017,Nominee,Ninefox Gambit,Yoon Ha Lee
Arthur C. Clarke,Best Novel,2017,Nominee,After Atlas,Emma Newman
Arthur C. Clarke,Best Novel,2017,Nominee,Occupy Me,Tricia Sullivan
Arthur C. Clarke,Best Novel,2016,Nominee,"The Long Way to a Small, Angry Planet",Becky Chambers
Arthur C. Clarke,Best Novel,2016,Nominee,The Book of Phoenix,Nnedi Okorafor
Arthur C. Clarke,Best Novel,2016,Nominee,Europe at Midnight,Dave Hutchinson
Arthur C. Clarke,Best Novel,2016,Nominee,Way Down Dark,James Smythe
Arthur C. Clarke,Best Novel,2016,Nominee,Arcadia,Iain Pears
Arthur C. Clarke,Best Novel,2015,Nominee,The Girl with All the Gifts,Mike Carey
Arthur C. Clarke,Best Novel,2015,Nominee,Memory of Water,Emmi Itäranta
Arthur C. Clarke,Best Novel,2015,Nominee,The Book of Strange New Things,Michel Faber
Arthur C. Clarke,Best Novel,2015,Nominee,The First Fifteen Lives of Harry August,Catherine Webb
Arthur C. Clarke,Best Novel,2015,Nominee,Europe in Autumn,Dave Hutchinson
Arthur C. Clarke,Best Novel,2014,Nominee,Nexus,Ramez Naam
Arthur C. Clarke,Best Novel,2014,Nominee,God's War,Kameron Hurley
Arthur C. Clarke,Best Novel,2014,Nominee,The Adjacent,Christopher Priest
Arthur C. Clarke,Best Novel,2014,Nominee,The Disestablishment of Paradise,Phillip Mann
Arthur C. Clarke,Best Novel,2014,Nominee,The Machine,James Smythe
Arthur C. Clarke,Best Novel,2013,Nominee,2312,Kim Stanley Robinson
Arthur C. Clarke,Best Novel,2013,Nominee,Intrusion,Ken MacLeod
Arthur C. Clarke,Best Novel,2013,Nominee,The Dog Stars,Peter Heller
Arthur C. Clarke,Best Novel,2013,Nominee,Angelmaker,Nick Harkaway
Arthur C. Clarke,Best Novel,2013,Nominee,Nod,Adrian Barnes
Arthur C. Clarke,Best Novel,2012,Nominee,Hull Zero Three,Greg Bear
Arthur C. Clarke,Best Novel,2012,Nominee,Rule 34,Charles Stross
Arthur C. Clarke,Best Novel,2012,Nominee,The Postmortal,Drew Magary
Arthur C. Clarke,Best Novel,2012,Nominee,The Waters Rising,Sheri S. Tepper
Arthur C. Clarke,Best Novel,2011,Nominee,The Dervish House,Ian McDonald
Arthur C. Clarke,Best Novel,2011,Nominee,Declare,Tim Powers
Arthur C. Clarke,Best Novel,2011,Nominee,Monsters of Men,Patrick Ness
Arthur C. Clarke,Best Novel,2011,Nominee,Generosity: An Enhancement,Richard Powers
Arthur C. Clarke,Best Novel,2011,Nominee,Lightborn,Tricia Sullivan
Arthur C. Clarke,Best Novel,2010,Nominee,Galileo's Dream,Kim Stanley Robinson
Arthur C. Clarke,Best Novel,2010,Nominee,Yellow Blue Tibia,Adam Roberts
Arthur C. Clarke,Best Novel,2010,Nominee,Far North,Marcel Theroux
Arthur C. Clarke,Best Novel,2010,Nominee,Spirit or The Princess of Bois Dormant,Gwyneth Jones
Arthur C. Clarke,Best Novel,2010,Nominee,Retribution Falls,Chris Wooding
Arthur C. Clarke,Best Novel,2009,Nominee,Anathem,Neal Stephenson
Arthur C. Clarke,Best Novel,2009,Nominee,House of Suns,Alastair Reynolds
Arthur C. Clarke,Best Novel,2009,Nominee,The Quiet War,Paul J. McAuley
Arthur C. Clarke,Best Novel,2009,Nominee,The Margarets,Sheri S. Tepper
Arthur C. Clarke,Best Novel,2009,Nominee,Martin Martin's on the Other Side,Mark Wernham
Arthur C. Clarke,Best Novel,2008,Nominee,The Execution Channel,Ken MacLeod
Arthur C. Clarke,Best Novel,2008,Nominee,The H-Bomb Girl,Stephen Baxter
Arthur C. Clarke,Best Novel,2008,Nominee,The Carhullan Army,Sarah Hall
Arthur C. Clarke,Best Novel,2008,Nominee,The Red Men,Matthew De Abaitua
Arthur C. Clarke,Best Novel,2007,Nominee,Gradisil,Adam Roberts
Arthur C. Clarke,Best Novel,2007,Nominee,End of the World Blues,Jon Courtenay Grimwood
Arthur C. Clarke,Best Novel,2007,Nominee,Oh Pure and Radiant Heart,Lydia Millet
Arthur C. Clarke,Best Novel,2007,Nominee,Streaking,Brian Stableford
Arthur C. Clarke,Best Novel,2007,Nominee,Hav,Jan Morris
Arthur C. Clarke,Best Novel,2006,Nominee,Never Let Me Go,Kazuo Ishiguro
Arthur C. Clarke,Best Novel,2006,Nominee,Accelerando,Charles Stross
Arthur C. Clarke,Best Novel,2006,Nominee,Learning the World,Ken MacLeod
