prize,category,year,status,title,author
Giller,Fiction,1994,Winner,The Book of Secrets,M. G. Vassanji
Giller,Fiction,1994,Shortlist,Casino and Other Stories,Bonnie Burnard
Giller,Fiction,1994,Shortlist,What You Need,Eliza Clark
Giller,Fiction,1994,Shortlist,Funny Boy,Shyam Selvadurai
Giller,Fiction,1994,Shortlist,The Museum of Love,Steve Weiner
Giller,Fiction,1995,Winner,A Fine Balance,Rohinton Mistry
Giller,Fiction,1995,Shortlist,The Piano Man's Daughter,Timothy Findley
Giller,Fiction,1995,Shortlist,Mister Sandman,Barbara Gowdy
Giller,Fiction,1995,Shortlist,Like This,"Leo McKay, Jr."
Giller,Fiction,1995,Shortlist,The Age of Longing,Richard B. Wright
Giller,Fiction,1996,Winner,Alias Grace,Margaret Atwood
Giller,Fiction,1996,Shortlist,The Cure for Death by Lightning,Gail Anderson-Dargatz
Giller,Fiction,1996,Shortlist,Fall on Your Knees,Ann-Marie MacDonald
Giller,Fiction,1996,Shortlist,Fugitive Pieces,Anne Michaels
Giller,Fiction,1996,Shortlist,The Englishman's Boy,Guy Vanderhaeghe
Giller,Fiction,1997,Winner,Barney's Version,Mordecai Richler
Giller,Fiction,1997,Shortlist,The Projectionist,Michael Helm
Giller,Fiction,1997,Shortlist,Cereus Blooms at Night,Shani Mootoo
Giller,Fiction,1997,Shortlist,Where She Has Gone,Nino Ricci
Giller,Fiction,1997,Shortlist,Larry's Party,Carol Shields
Giller,Fiction,1998,Winner,The Love of a Good Woman,Alice Munro
Giller,Fiction,1998,Shortlist,Childhood,André Alexis
Giller,Fiction,1998,Shortlist,A Recipe for Bees,Gail Anderson-Dargatz
Giller,Fiction,1998,Shortlist,The White Bone,Barbara Gowdy
Giller,Fiction,1998,Shortlist,The Healer,Greg Hollingshead
Giller,Fiction,1998,Shortlist,The Colony of Unrequited Dreams,Wayne Johnston
Giller,Fiction,1999,Winner,A Good House,Bonnie Burnard
Giller,Fiction,1999,Shortlist,Pilgrim,Timothy Findley
Giller,Fiction,1999,Shortlist,Am I Disturbing You?,Anne Hébert
Giller,Fiction,1999,Shortlist,The Mark of the Angel,Nancy Huston
Giller,Fiction,1999,Shortlist,Summer Gone,David Macfarlane
Giller,Fiction,2000,Winner,Anil's Ghost,Michael Ondaatje
Giller,Fiction,2000,Shortlist,Mercy Among the Children,David Adams Richards
Giller,Fiction,2000,Shortlist,Burridge Unbound,Alan Cumyn
Giller,Fiction,2000,Shortlist,A Student of Weather,Elizabeth Hay
Giller,Fiction,2000,Shortlist,Monkey Beach,Eden Robinson
Giller,Fiction,2000,Shortlist,The Trade,Fred Stenson
Giller,Fiction,2001,Winner,Clara Callan,Richard B. Wright
Giller,Fiction,2001,Shortlist,The Russlander,Sandra Birdsell
Giller,Fiction,2001,Shortlist,River Thieves,Michael Crummey
Giller,Fiction,2001,Shortlist,Martin Sloane,Michael Redhill
Giller,Fiction,2001,Shortlist,The Stone Carvers,Jane Urquhart
Giller,Fiction,2001,Shortlist,Stanley Park,Timothy Taylor
Giller,Fiction,2002,Winner,The Polished Hoe,Austin Clarke
Giller,Fiction,2002,Shortlist,Mount Appetite,Bill Gaston
Giller,Fiction,2002,Shortlist,The Navigator of New York,Wayne Johnston
Giller,Fiction,2002,Shortlist,Open,Lisa Moore
Giller,Fiction,2002,Shortlist,Unless,Carol Shields
Giller,Fiction,2003,Winner,The In-Between World of Vikram Lall,M. G. Vassanji
Giller,Fiction,2003,Shortlist,Oryx and Crake,Margaret Atwood
Giller,Fiction,2003,Shortlist,The Island Walkers,John Bemrose
Giller,Fiction,2003,Shortlist,Kilter: 55 Fictions,John Gould
Giller,Fiction,2003,Shortlist,The Way the Crow Flies,Ann-Marie MacDonald
Giller,Fiction,2004,Winner,Runaway,Alice Munro
Giller,Fiction,2004,Shortlist,The Tiger Claw,Shauna Singh Baldwin
Giller,Fiction,2004,Shortlist,All That Matters,Wayson Choy
Giller,Fiction,2004,Shortlist,Beyond Measure,Pauline Holdstock
Giller,Fiction,2004,Shortlist,A Complicated Kindness,Miriam Toews
Giller,Fiction,2004,Shortlist,Galveston,Paul Quarrington
Giller,Fiction,2005,Winner,The Time in Between,David Bergen
Giller,Fiction,2005,Shortlist,Luck,Joan Barfoot
Giller,Fiction,2005,Shortlist,Sweetness in the Belly,Camilla Gibb
Giller,Fiction,2005,Shortlist,Alligator,Lisa Moore
Giller,Fiction,2005,Shortlist,A Wall of Light,Edeet Ravel
Giller,Fiction,2006,Winner,Bloodletting & Miraculous Cures,Vincent Lam
Giller,Fiction,2006,Shortlist,De Niro's Game,Rawi Hage
Giller,Fiction,2006,Shortlist,The Perfect Circle,"Pascale Quiviger (Sheila Fischman, tr.)"
Giller,Fiction,2006,Shortlist,The Immaculate Conception,"Gaétan Soucy (Lazer Lederhendler, tr.)"
Giller,Fiction,2006,Shortlist,Home Schooling,Carol Windley
Giller,Fiction,2006,Shortlist,Pleased to Meet You,Caroline Adderson
Giller,Fiction,2006,Shortlist,The Garneau Block,Todd Babiak
Giller,Fiction,2006,Shortlist,Governor of the Northern Province,Randy Boyagoda
Giller,Fiction,2006,Shortlist,JPod,Douglas Coupland
Giller,Fiction,2006,Shortlist,The Famished Lover,Alan Cumyn
Giller,Fiction,2006,Shortlist,The Friends of Meager Fortune,David Adams Richards
Giller,Fiction,2006,Shortlist,Inside,Kenneth J. Harvey
Giller,Fiction,2006,Shortlist,The Custodian of Paradise,Wayne Johnston
Giller,Fiction,2006,Shortlist,Stolen,Annette Lapointe
Giller,Fiction,2006,Shortlist,The Hour of Bad Decisions,Russell Wangersky
Giller,Fiction,2007,Winner,Late Nights on Air,Elizabeth Hay
Giller,Fiction,2007,Shortlist,Divisadero,Michael Ondaatje
Giller,Fiction,2007,Shortlist,A Secret Between Us,"Daniel Poliquin (Donald Winkler, tr.)"
Giller,Fiction,2007,Shortlist,The Assassin's Song,M. G. Vassanji
Giller,Fiction,2007,Shortlist,Effigy,Alissa York
Giller,Fiction,2007,Shortlist,Soucouyant,David Chariandy
Giller,Fiction,2007,Shortlist,Zero Gravity,Sharon English
Giller,Fiction,2007,Shortlist,Helpless,Barbara Gowdy
Giller,Fiction,2007,Shortlist,The Book of Negroes,Lawrence Hill
Giller,Fiction,2007,Shortlist,Stormy Weather,Paulette Jiles
Giller,Fiction,2007,Shortlist,Lauchlin of the Bad Heart,D. R. MacDonald
Giller,Fiction,2007,Shortlist,The Reckoning of Boston Jim,Claire Mulligan
Giller,Fiction,2007,Shortlist,Conceit,Mary Novik
Giller,Fiction,2007,Shortlist,The Architects Are Here,Michael Winter
Giller,Fiction,2007,Shortlist,October,Richard B. Wright
Giller,Fiction,2008,Winner,Through Black Spruce,Joseph Boyden
Giller,Fiction,2008,Shortlist,Barnacle Love,Anthony De Sa
Giller,Fiction,2008,Shortlist,Good to a Fault,Marina Endicott
