prize,category,year,status,title,author
Hugo,Best Novel,2025,Winner,The Tainted Cup,Robert Jackson Bennett
Hugo,Best Novel,2024,Winner,Q123300220,Emily Tesh
Hugo,Best Novel,2023,Winner,Nettle & Bone,Ursula Vernon
Hugo,Best Novel,2022,Winner,A Desolation Called Peace,Arkady Martine
Hugo,Best Novel,2021,Winner,Network Effect,Martha Wells
Hugo,Best Novel,2020,Winner,A Memory Called Empire,Arkady Martine
Hugo,Best Novel,2019,Winner,The Calculating Stars,Mary Robinette Kowal
Hugo,Best Novel,2018,Winner,The Stone Sky,Q2427544
Hugo,Best Novel,2017,Winner,The Obelisk Gate,Q2427544
Hugo,Best Novel,2016,Winner,The Fifth Season,Q2427544
Hugo,Best Novel,2015,Winner,The Three-Body Problem,Liu Cixin
Hugo,Best Novel,2014,Winner,Ancillary Justice,Ann Leckie
Hugo,Best Novel,2013,Winner,Redshirts,John Scalzi
Hugo,Best Novel,2012,Winner,Among Others,Jo Walton
Hugo,Best Novel,2011,Winner,All Clear,Connie Willis
Hugo,Best Novel,2011,Winner,Blackout,Connie Willis
Hugo,Best Novel,2010,Winner,The Windup Girl,Paolo Bacigalupi
Hugo,Best Novel,2010,Winner,The City & the City,China Miéville
Hugo,Best Novel,2009,Winner,The Graveyard Book,Neil Gaiman
Hugo,Best Novel,2008,Winner,The Yiddish Policemen's Union,Michael Chabon
Hugo,Best Novel,2007,Winner,Rainbows End,Vernor Vinge
Hugo,Best Novel,2006,Winner,Spin,Robert Charles Wilson
Hugo,Best Novel,2005,Winner,Jonathan Strange & Mr Norrell,Susanna Clarke
Hugo,Best Novel,2004,Winner,Paladin of Souls,Lois McMaster Bujold
Hugo,Best Novel,2003,Winner,Hominids,Robert J. Sawyer
Hugo,Best Novel,2002,Winner,American Gods,Neil Gaiman
Hugo,Best Novel,2001,Winner,Harry Potter and the Goblet of Fire,Q34660
Hugo,Best Novel,2000,Winner,A Deepness in the Sky,Vernor Vinge
Hugo,Best Novel,1999,Winner,To Say Nothing of the Dog,Connie Willis
Hugo,Best Novel,1998,Winner,Forever Peace,Joe Haldeman
Hugo,Best Novel,1997,Winner,Blue Mars,Kim Stanley Robinson
Hugo,Best Novel,1996,Winner,The Diamond Age,Neal Stephenson
Hugo,Best Novel,1995,Winner,Mirror Dance,Lois McMaster Bujold
Hugo,Best Novel,1994,Winner,Green Mars,Kim Stanley Robinson
Hugo,Best Novel,1993,Winner,Doomsday Book,Connie Willis
Hugo,Best Novel,1993,Winner,A Fire Upon the Deep,Vernor Vinge
Hugo,Best Novel,1992,Winner,Barrayar,Lois McMaster Bujold
Hugo,Best Novel,1991,Winner,The Vor Game,Lois McMaster Bujold
Hugo,Best Novel,1990,Winner,Hyperion,Dan Simmons
Hugo,Best Novel,1989,Winner,Cyteen,C. J. Cherryh
Hugo,Best Novel,1988,Winner,The Uplift War,David Brin
Hugo,Best Novel,1987,Winner,Speaker for the Dead,Orson Scott Card
Hugo,Best Novel,1986,Winner,Ender's Game,Orson Scott Card
Hugo,Best Novel,1985,Winner,Neuromancer,William Gibson
Hugo,Best Novel,1984,Winner,Startide Rising,David Brin
Hugo,Best Novel,1983,Winner,Foundation's Edge,Isaac Asimov
Hugo,Best Novel,1982,Winner,Downbelow Station,C. J. Cherryh
Hugo,Best Novel,1981,Winner,The Snow Queen,Joan D. Vinge
Hugo,Best Novel,1980,Winner,The Fountains of Paradise,Arthur C. Clarke
Hugo,Best Novel,1979,Winner,Dreamsnake,Vonda N. McIntyre
Hugo,Best Novel,1978,Winner,Gateway,Frederik Pohl
Hugo,Best Novel,1977,Winner,Where Late the Sweet Birds Sang,Kate Wilhelm
Hugo,Best Novel,1976,Winner,The Forever War,Joe Haldeman
Hugo,Best Novel,1975,Winner,The Dispossessed,Ursula K. Le Guin
Hugo,Best Novel,1974,Winner,Rendezvous with Rama,Arthur C. Clarke
Hugo,Best Novel,1973,Winner,The Gods Themselves,Isaac Asimov
Hugo,Best Novel,1972,Winner,To Your Scattered Bodies Go,Philip José Farmer
Hugo,Best Novel,1971,Winner,Ringworld,Larry Niven
Hugo,Best Novel,1970,Winner,The Left Hand of Darkness,Ursula K. Le Guin
Hugo,Best Novel,1969,Winner,Stand on Zanzibar,John Brunner
Hugo,Best Novel,1968,Winner,Lord of Light,Roger Zelazny
Hugo,Best Novel,1967,Winner,The Moon Is a Harsh Mistress,Robert A. Heinlein
Hugo,Best Novel,1966,Winner,Dune,Frank Herbert
Hugo,Best Novel,1966,Winner,This Immortal,Roger Zelazny
Hugo,Best Novel,1965,Winner,The Wanderer,Fritz Leiber
Hugo,Best Novel,1964,Winner,Way Station,Clifford D. Simak
Hugo,Best Novel,1963,Winner,The Man in the High Castle,Philip K. Dick
Hugo,Best Novel,1962,Winner,Stranger in a Strange Land,Robert A. Heinlein
Hugo,Best Novel,1961,Winner,A Canticle for Leibowitz,Walter M. Miller
Hugo,Best Novel,1960,Winner,Starship Troopers,Robert A. Heinlein
Hugo,Best Novel,1959,Winner,A Case of Conscience,James Blish
Hugo,Best Novel,1958,Winner,The Big Time,Fritz Leiber
Hugo,Best Novel,1956,Winner,Double Star,Robert A. Heinlein
Hugo,Best Novel,1955,Winner,They'd Rather Be Right,Frank Riley
Hugo,Best Novel,1955,Winner,They'd Rather Be Right,Mark Clifton
Hugo,Best Novel,1953,Winner,The Demolished Man,Alfred Bester
Hugo,Best Novel,2025,Nominee,The Ministry of Time,Kaliane Bradley
Hugo,Best Novel,2025,Nominee,Alien Clay,Adrian Tchaikovsky
Hugo,Best Novel,2025,Nominee,Someone You Can Build a Nest In,Q107719145
Hugo,Best Novel,2025,Nominee,A Sorceress Comes to Call,Ursula Vernon
Hugo,Best Novel,2024,Nominee,Translation State,Ann Leckie
Hugo,Best Novel,2024,Nominee,Starter Villain,John Scalzi
Hugo,Best Novel,2024,Nominee,The Adventures of Amina al-Sirafi,Shannon Ali Chakraborty
Hugo,Best Novel,2024,Nominee,Witch King,Martha Wells
Hugo,Best Novel,2024,Nominee,The Saint of Bright Doors,Vajra Chandrasekera
Hugo,Best Novel,2023,Nominee,The Kaiju Preservation Society,John Scalzi
Hugo,Best Novel,2023,Nominee,Nona the Ninth,Tamsyn Muir
Hugo,Best Novel,2023,Nominee,Legends & Lattes,Travis Baldree
Hugo,Best Novel,2023,Nominee,The Daughter of Doctor Moreau,Silvia Moreno-Garcia
Hugo,Best Novel,2023,Nominee,The Spare Man,Mary Robinette Kowal
Hugo,Best Novel,2022,Nominee,"The Galaxy, and the Ground Within",Becky Chambers
Hugo,Best Novel,2022,Nominee,Project Hail Mary,Q18590295
Hugo,Best Novel,2022,Nominee,She Who Became the Sun,Shelley Parker-Chan
Hugo,Best Novel,2022,Nominee,Light From Uncommon Stars,Ryka Aoki
Hugo,Best Novel,2022,Nominee,A Master of Djinn,P. Djèlí Clark
Hugo,Best Novel,2021,Nominee,The City We Became,Q2427544
Hugo,Best Novel,2021,Nominee,Piranesi,Susanna Clarke
Hugo,Best Novel,2021,Nominee,Harrow the Ninth,Tamsyn Muir
Hugo,Best Novel,2021,Nominee,The Relentless Moon,Mary Robinette Kowal
Hugo,Best Novel,2021,Nominee,Black Sun,Rebecca Roanhorse
Hugo,Best Novel,2020,Nominee,The Light Brigade,Kameron Hurley
Hugo,Best Novel,2020,Nominee,Gideon the Ninth,Tamsyn Muir
Hugo,Best Novel,2020,Nominee,The Ten Thousand Doors of January,Alix E. Harrow
Hugo,Best Novel,2020,Nominee,The City in the Middle of the Night,Charlie Jane Anders
Hugo,Best Novel,2020,Nominee,Middlegame,Seanan McGuire
Hugo,Best Novel,2019,Nominee,Spinning Silver,Naomi Novik
Hugo,Best Novel,2019,Nominee,Revenant Gun,Yoon Ha Lee
Hugo,Best Novel,2019,Nominee,Record of a Spaceborn Few,Becky Chambers
Hugo,Best Novel,2019,Nominee,Space Opera,Catherynne M. Valente
Hugo,Best Novel,2019,Nominee,Trail of Lightning,Rebecca Roanhorse
Hugo,Best Novel,2018,Nominee,The Collapsing Empire,John Scalzi
Hugo,Best Novel,2018,Nominee,New York 2140,Kim Stanley Robinson
Hugo,Best Novel,2018,Nominee,Provenance,Ann Leckie
Hugo,Best Novel,2018,Nominee,Six Wakes,Mur Lafferty
Hugo,Best Novel,2018,Nominee,Raven Stratagem,Yoon Ha Lee
Hugo,Best Novel,2017,Nominee,Death's End,Liu Cixin
Hugo,Best Novel,2017,Nominee,All the Birds in the Sky,Charlie Jane Anders
Hugo,Best Novel,2017,Nominee,Too Like the Lightning,Ada Palmer
Hugo,Best Novel,2017,Nominee,A Closed and Common Orbit,Becky Chambers
Hugo,Best Novel,2017,Nominee,Ninefox Gambit,Yoon Ha Lee
Hugo,Best Novel,2016,Nominee,Ancillary Mercy,Ann Leckie
Hugo,Best Novel,2016,Nominee,Seveneves,Neal Stephenson
Hugo,Best Novel,2016,Nominee,Uprooted,Naomi Novik
Hugo,Best Novel,2016,Nominee,The Aeronaut's Windlass,Jim Butcher
Hugo,Best Novel,2015,Nominee,Skin Game,Jim Butcher
Hugo,Best Novel,2015,Nominee,Ancillary Sword,Ann Leckie
Hugo,Best Novel,2015,Nominee,The Goblin Emperor,Sarah Monette
Hugo,Best Novel,2015,Nominee,The Dark Between the Stars,Kevin J. Anderson
Hugo,Best Novel,2014,Nominee,Parasite,Seanan McGuire
Hugo,Best Novel,2014,Nominee,Neptune's Brood,Charles Stross
Hugo,Best Novel,2014,Nominee,Warbound,Larry Correia
Hugo,Best Novel,2013,Nominee,2312,Kim Stanley Robinson
Hugo,Best Novel,2013,Nominee,Captain Vorpatril's Alliance,Lois McMaster Bujold
Hugo,Best Novel,2013,Nominee,Throne of the Crescent Moon,Saladin Ahmed
Hugo,Best Novel,2013,Nominee,Blackout,Seanan McGuire
Hugo,Best Novel,2012,Nominee,A Dance with Dragons,George R. R. Martin
Hugo,Best Novel,2012,Nominee,Q3052025,China Miéville
Hugo,Best Novel,2012,Nominee,Deadline,Seanan McGuire
Hugo,Best Novel,2012,Nominee,Leviathan Wakes,Daniel Abraham
Hugo,Best Novel,2012,Nominee,Leviathan Wakes,James S. A. Corey
Hugo,Best Novel,2012,Nominee,Leviathan Wakes,Ty Franck
Hugo,Best Novel,2011,Nominee,The Dervish House,Ian McDonald
Hugo,Best Novel,2011,Nominee,Cryoburn,Lois McMaster Bujold
Hugo,Best Novel,2011,Nominee,The Hundred Thousand Kingdoms,Q2427544
Hugo,Best Novel,2011,Nominee,Feed,Seanan McGuire
Hugo,Best Novel,2010,Nominee,Boneshaker,Cherie Priest
Hugo,Best Novel,2010,Nominee,Palimpsest,Catherynne M. Valente
Hugo,Best Novel,2010,Nominee,Wake,Robert J. Sawyer
Hugo,Best Novel,2010,Nominee,Julian Comstock: A Story of 22nd-Century America,Robert Charles Wilson
Hugo,Best Novel,2009,Nominee,Anathem,Neal Stephenson
Hugo,Best Novel,2009,Nominee,Little Brother,Cory Doctorow
Hugo,Best Novel,2009,Nominee,Saturn's Children,Charles Stross
Hugo,Best Novel,2009,Nominee,Zoe's Tale,John Scalzi
Hugo,Best Novel,2008,Nominee,Rollback,Robert J. Sawyer
Hugo,Best Novel,2008,Nominee,Brasyl,Ian McDonald
Hugo,Best Novel,2008,Nominee,Halting State,Charles Stross
Hugo,Best Novel,2008,Nominee,The Last Colony,John Scalzi
Hugo,Best Novel,2007,Nominee,Glasshouse,Charles Stross
Hugo,Best Novel,2007,Nominee,His Majesty's Dragon,Naomi Novik
Hugo,Best Novel,2007,Nominee,Blindsight,Peter Watts
Hugo,Best Novel,2007,Nominee,Eifelheim,Michael F. Flynn
Hugo,Best Novel,2006,Nominee,Old Man's War,John Scalzi
Hugo,Best Novel,2006,Nominee,A Feast for Crows,George R. R. Martin
Hugo,Best Novel,2006,Nominee,Accelerando,Charles Stross
Hugo,Best Novel,2006,Nominee,Learning the World,Ken MacLeod
Hugo,Best Novel,2005,Nominee,The Algebraist,Iain Banks
Hugo,Best Novel,2005,Nominee,Iron Council,China Miéville
Hugo,Best Novel,2005,Nominee,Iron Sunrise,Charles Stross
Hugo,Best Novel,2005,Nominee,River of Gods,Ian McDonald
Hugo,Best Novel,2004,Nominee,Blind Lake,Robert Charles Wilson
Hugo,Best Novel,2004,Nominee,Singularity Sky,Charles Stross
Hugo,Best Novel,2004,Nominee,Ilium,Dan Simmons
Hugo,Best Novel,2004,Nominee,Humans,Robert J. Sawyer
Hugo,Best Novel,2003,Nominee,The Scar,China Miéville
Hugo,Best Novel,2003,Nominee,Kiln People,David Brin
Hugo,Best Novel,2003,Nominee,The Years of Rice and Salt,Kim Stanley Robinson
Hugo,Best Novel,2003,Nominee,Bones of the Earth,Michael Swanwick
Hugo,Best Novel,2002,Nominee,The Chronoliths,Robert Charles Wilson
Hugo,Best Novel,2002,Nominee,Perdido Street Station,China Miéville
Hugo,Best Novel,2002,Nominee,The Curse of Chalion,Lois McMaster Bujold
Hugo,Best Novel,2002,Nominee,Passage,Connie Willis
Hugo,Best Novel,2002,Nominee,Cosmonaut Keep,Ken MacLeod
Hugo,Best Novel,2001,Nominee,A Storm of Swords,George R. R. Martin
Hugo,Best Novel,2001,Nominee,Calculating God,Robert J. Sawyer
Hugo,Best Novel,2001,Nominee,Midnight Robber,Nalo Hopkinson
Hugo,Best Novel,2001,Nominee,The Sky Road,Ken MacLeod
Hugo,Best Novel,2000,Nominee,Harry Potter and the Prisoner of Azkaban,Q34660
Hugo,Best Novel,2000,Nominee,Cryptonomicon,Neal Stephenson
Hugo,Best Novel,2000,Nominee,Darwin's Radio,Greg Bear
Hugo,Best Novel,2000,Nominee,A Civil Campaign,Lois McMaster Bujold
Hugo,Best Novel,1999,Nominee,Darwinia,Robert Charles Wilson
Hugo,Best Novel,1999,Nominee,Factoring Humanity,Robert J. Sawyer
Hugo,Best Novel,1999,Nominee,Children of God,Mary Doria Russell
Hugo,Best Novel,1999,Nominee,Distraction,Bruce Sterling
Hugo,Best Novel,1998,Nominee,The Rise of Endymion,Dan Simmons
Hugo,Best Novel,1998,Nominee,Jack Faust,Michael Swanwick
Hugo,Best Novel,1998,Nominee,City on Fire,Walter Jon Williams
Hugo,Best Novel,1998,Nominee,Frameshift,Robert J. Sawyer
Hugo,Best Novel,1997,Nominee,Remnant Population,Elizabeth Moon
Hugo,Best Novel,1997,Nominee,Holy Fire,Bruce Sterling
Hugo,Best Novel,1997,Nominee,Memory,Lois McMaster Bujold
Hugo,Best Novel,1997,Nominee,Starplex,Robert J. Sawyer
Hugo,Best Novel,1996,Nominee,The Time Ships,Stephen Baxter
Hugo,Best Novel,1996,Nominee,The Terminal Experiment,Robert J. Sawyer
Hugo,Best Novel,1996,Nominee,Brightness Reef,David Brin
Hugo,Best Novel,1996,Nominee,Remake,Connie Willis
Hugo,Best Novel,1995,Nominee,Mother of Storms,John Barnes
Hugo,Best Novel,1995,Nominee,Beggars and Choosers,Nancy Kress
Hugo,Best Novel,1995,Nominee,Towing Jehovah,James Morrow
Hugo,Best Novel,1995,Nominee,Brittle Innings,Michael Bishop
Hugo,Best Novel,1994,Nominee,Beggars in Spain,Nancy Kress
Hugo,Best Novel,1994,Nominee,Virtual Light,William Gibson
Hugo,Best Novel,1994,Nominee,Moving Mars,Greg Bear
Hugo,Best Novel,1994,Nominee,Glory Season,David Brin
Hugo,Best Novel,1993,Nominee,Steel Beach,John Varley
Hugo,Best Novel,1993,Nominee,Red Mars,Kim Stanley Robinson
Hugo,Best Novel,1993,Nominee,China Mountain Zhang,Maureen F. McHugh
Hugo,Best Novel,1992,Nominee,Xenocide,Orson Scott Card
Hugo,Best Novel,1992,Nominee,The Summer Queen,Joan D. Vinge
Hugo,Best Novel,1992,Nominee,Stations of the Tide,Michael Swanwick
Hugo,Best Novel,1992,Nominee,All the Weyrs of Pern,Anne McCaffrey
Hugo,Best Novel,1992,Nominee,Bone Dance,Emma Bull
Hugo,Best Novel,1991,Nominee,The Fall of Hyperion,Dan Simmons
Hugo,Best Novel,1991,Nominee,Queen of Angels,Greg Bear
Hugo,Best Novel,1991,Nominee,Earth,David Brin
Hugo,Best Novel,1991,Nominee,The Quiet Pools,Michael P. Kube-McDowell
Hugo,Best Novel,1990,Nominee,Prentice Alvin,Orson Scott Card
Hugo,Best Novel,1990,Nominee,A Fire in the Sun,George Alec Effinger
Hugo,Best Novel,1990,Nominee,Grass,Sheri S. Tepper
Hugo,Best Novel,1990,Nominee,The Boat of a Million Years,Poul Anderson
Hugo,Best Novel,1989,Nominee,Mona Lisa Overdrive,William Gibson
Hugo,Best Novel,1989,Nominee,Falling Free,Lois McMaster Bujold
Hugo,Best Novel,1989,Nominee,Red Prophet,Orson Scott Card
Hugo,Best Novel,1989,Nominee,Islands in the Net,Bruce Sterling
Hugo,Best Novel,1988,Nominee,When Gravity Fails,George Alec Effinger
Hugo,Best Novel,1988,Nominee,Seventh Son,Orson Scott Card
Hugo,Best Novel,1988,Nominee,The Urth of the New Sun,Gene Wolfe
Hugo,Best Novel,1988,Nominee,The Forge of God,Greg Bear
Hugo,Best Novel,1987,Nominee,Count Zero,William Gibson
Hugo,Best Novel,1987,Nominee,Marooned in Realtime,Vernor Vinge
Hugo,Best Novel,1987,Nominee,Black Genesis,L. Ron Hubbard
Hugo,Best Novel,1987,Nominee,The Ragged Astronauts,Bob Shaw
Hugo,Best Novel,1986,Nominee,The Postman,David Brin
Hugo,Best Novel,1986,Nominee,Blood Music,Greg Bear
Hugo,Best Novel,1986,Nominee,Footfall,Larry Niven
Hugo,Best Novel,1986,Nominee,Footfall,Jerry Pournelle
Hugo,Best Novel,1986,Nominee,Cuckoo's Egg,C. J. Cherryh
Hugo,Best Novel,1985,Nominee,Job: A Comedy of Justice,Robert A. Heinlein
Hugo,Best Novel,1985,Nominee,The Integral Trees,Larry Niven
Hugo,Best Novel,1985,Nominee,The Peace War,Vernor Vinge
Hugo,Best Novel,1985,Nominee,Emergence,David R. Palmer
Hugo,Best Novel,1984,Nominee,The Robots of Dawn,Isaac Asimov
Hugo,Best Novel,1984,Nominee,Moreta: Dragonlady of Pern,Anne McCaffrey
Hugo,Best Novel,1984,Nominee,Millennium,John Varley
Hugo,Best Novel,1984,Nominee,Tea with the Black Dragon,R. A. MacAvoy
Hugo,Best Novel,1983,Nominee,Friday,Robert A. Heinlein
Hugo,Best Novel,1983,Nominee,2010: Odyssey Two,Arthur C. Clarke
Hugo,Best Novel,1983,Nominee,The Sword of the Lictor,Gene Wolfe
Hugo,Best Novel,1983,Nominee,Courtship Rite,Donald Kingsbury
Hugo,Best Novel,1983,Nominee,The Pride of Chanur,C. J. Cherryh
Hugo,Best Novel,1982,Nominee,"Little, Big",John Crowley
Hugo,Best Novel,1982,Nominee,The Claw of the Conciliator,Gene Wolfe
Hugo,Best Novel,1982,Nominee,The Many-Colored Land,Julian May
Hugo,Best Novel,1982,Nominee,Project Pope,Clifford D. Simak
Hugo,Best Novel,1981,Nominee,Beyond the Blue Event Horizon,Frederik Pohl
Hugo,Best Novel,1981,Nominee,The Ringworld Engineers,Larry Niven
Hugo,Best Novel,1981,Nominee,Lord Valentine's Castle,Robert Silverberg
Hugo,Best Novel,1981,Nominee,Wizard,John Varley
Hugo,Best Novel,1980,Nominee,Jem,Frederik Pohl
Hugo,Best Novel,1980,Nominee,On Wings of Song,Thomas M. Disch
Hugo,Best Novel,1980,Nominee,Titan,John Varley
Hugo,Best Novel,1980,Nominee,Harpist in the Wind,Patricia A. McKillip
Hugo,Best Novel,1979,Nominee,The White Dragon,Anne McCaffrey
Hugo,Best Novel,1979,Nominee,Blind Voices,Tom Reamy
Hugo,Best Novel,1979,Nominee,The Faded Sun: Kesrith,C. J. Cherryh
Hugo,Best Novel,1978,Nominee,Dying of the Light,George R. R. Martin
Hugo,Best Novel,1978,Nominee,Lucifer's Hammer,Larry Niven
Hugo,Best Novel,1978,Nominee,Lucifer's Hammer,Jerry Pournelle
Hugo,Best Novel,1978,Nominee,The Forbidden Tower,Marion Zimmer Bradley
Hugo,Best Novel,1978,Nominee,Time Storm,Gordon R. Dickson
Hugo,Best Novel,1977,Nominee,Children of Dune,Frank Herbert
Hugo,Best Novel,1977,Nominee,Man Plus,Frederik Pohl
Hugo,Best Novel,1977,Nominee,Shadrach in the Furnace,Robert Silverberg
Hugo,Best Novel,1977,Nominee,Mindbridge,Joe Haldeman
Hugo,Best Novel,1976,Nominee,Doorways in the Sand,Roger Zelazny
Hugo,Best Novel,1976,Nominee,The Stochastic Man,Robert Silverberg
Hugo,Best Novel,1976,Nominee,The Computer Connection,Alfred Bester
Hugo,Best Novel,1976,Nominee,Inferno,Larry Niven
Hugo,Best Novel,1976,Nominee,Inferno,Jerry Pournelle
Hugo,Best Novel,1975,Nominee,"Flow My Tears, the Policeman Said",Philip K. Dick
Hugo,Best Novel,1975,Nominee,The Mote in God's Eye,Larry Niven
Hugo,Best Novel,1975,Nominee,The Mote in God's Eye,Jerry Pournelle
Hugo,Best Novel,1975,Nominee,Fire Time,Poul Anderson
Hugo,Best Novel,1975,Nominee,The Inverted World,Christopher Priest
Hugo,Best Novel,1974,Nominee,Time Enough for Love,Robert A. Heinlein
Hugo,Best Novel,1974,Nominee,Protector,Larry Niven
Hugo,Best Novel,1974,Nominee,The Man Who Folded Himself,David Gerrold
Hugo,Best Novel,1974,Nominee,The People of the Wind,Poul Anderson
Hugo,Best Novel,1973,Nominee,The Book of Skulls,Robert Silverberg
Hugo,Best Novel,1973,Nominee,Dying Inside,Robert Silverberg
Hugo,Best Novel,1973,Nominee,A Choice of Gods,Clifford D. Simak
Hugo,Best Novel,1973,Nominee,When HARLIE Was One,David Gerrold
Hugo,Best Novel,1973,Nominee,There Will Be Time,Poul Anderson
Hugo,Best Novel,1972,Nominee,The Lathe of Heaven,Ursula K. Le Guin
Hugo,Best Novel,1972,Nominee,Jack of Shadows,Roger Zelazny
Hugo,Best Novel,1972,Nominee,A Time of Changes,Robert Silverberg
Hugo,Best Novel,1972,Nominee,Dragonquest,Anne McCaffrey
Hugo,Best Novel,1971,Nominee,Tower of Glass,Robert Silverberg
Hugo,Best Novel,1971,Nominee,Tau Zero,Poul Anderson
