prize,category,year,status,title,author
International Booker,Fiction,2025,Winner,Heart Lamp: Selected Stories,Banu Mushtaq
International Booker,Fiction,2022,Winner,Tomb of Sand,Geetanjali Shree
International Booker,Fiction,2021,Winner,Frère d'âme,David Diop
International Booker,Fiction,2020,Winner,The Discomfort of Evening,Lucas Rijneveld
International Booker,Fiction,2019,Winner,Celestial Bodies,Jokha al-Harthi
International Booker,Fiction,2018,Winner,Flights,Olga Tokarczuk
International Booker,Fiction,2017,Winner,A Horse Walks Into a Bar,David Grossman
International Booker,Fiction,2016,Winner,The Vegetarian,Han Kang
International Booker,Fiction,2022,Nominee,Heaven,Mieko Kawakami
International Booker,Fiction,2022,Nominee,The Books of Jacob,Olga Tokarczuk
International Booker,Fiction,2022,Nominee,Love in the Big City,Park Sang-young
International Booker,Fiction,2022,Nominee,Elena Knows,Claudia Piñeiro
International Booker,Fiction,2022,Nominee,After The Sun,Jonas Eika
International Booker,Fiction,2022,Nominee,The Book of Mother,Violaine Huisman
International Booker,Fiction,2022,Nominee,A New Name: Septology VI–VII,Jon Fosse
International Booker,Fiction,2022,Nominee,Paradais,Fernanda Melchor
International Booker,Fiction,2022,Nominee,Phenotypes,Paulo Scott
International Booker,Fiction,2022,Nominee,Cursed Bunny,Bora Chung
International Booker,Fiction,2022,Nominee,"Happy Stories, Mostly",Norman Erikson Pasaribu
International Booker,Fiction,2022,Nominee,More Than I Love My Life,David Grossman
International Booker,Fiction,2021,Nominee,The Pear Field,Nana Ekvtimishvili
International Booker,Fiction,2021,Nominee,In Memory of Memory,Mariya Stepanova
International Booker,Fiction,2021,Nominee,An Inventory of Losses,Judith Schalansky
International Booker,Fiction,2021,Nominee,The Employees,Olga Ravn
International Booker,Fiction,2021,Nominee,Minor Detail,Adania Shibli
International Booker,Fiction,2021,Nominee,The Dangers of Smoking in Bed,Mariana Enriquez
International Booker,Fiction,2021,Nominee,I Live in the Slums,Can Xue
International Booker,Fiction,2021,Nominee,Summer Brother,Jaap Robben
International Booker,Fiction,2021,Nominee,The War of the Poor,Éric Vuillard
International Booker,Fiction,2021,Nominee,Wretchedness,Andrzej Tichý
International Booker,Fiction,2021,Nominee,When We Cease to Understand the World,Benjamín Labatut
International Booker,Fiction,2021,Nominee,The Perfect Nine: The Epic Gikuyu and Mumbi,Ngũgĩ wa Thiong'o
International Booker,Fiction,2020,Nominee,The Eighth Life (For Brilka),Nino Haratischwili
International Booker,Fiction,2020,Nominee,Tyll,Daniel Kehlmann
International Booker,Fiction,2020,Nominee,Serotonin,Michel Houellebecq
International Booker,Fiction,2020,Nominee,Hurricane Season,Fernanda Melchor
International Booker,Fiction,2020,Nominee,The Memory Police,Yoko Ogawa
International Booker,Fiction,2020,Nominee,The Enlightenment of the Greengage Tree,Shokoofeh Azar
International Booker,Fiction,2020,Nominee,Little Eyes,Samanta Schweblin
International Booker,Fiction,2020,Nominee,Faces on the Tip of My Tongue,Emmanuelle Salasc
International Booker,Fiction,2020,Nominee,Red Dog,Willem Anker
International Booker,Fiction,2020,Nominee,The Adventures of China Iron,Gabriela Cabezón Cámara
International Booker,Fiction,2020,Nominee,The Other Name: Septology I - II,Jon Fosse
International Booker,Fiction,2020,Nominee,Mac and His Problem,Enrique Vila-Matas
International Booker,Fiction,2019,Nominee,The Years,Annie Ernaux
International Booker,Fiction,2019,Nominee,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk
International Booker,Fiction,2019,Nominee,The Pine Islands,Marion Poschmann
International Booker,Fiction,2019,Nominee,Mouthful of Birds,Samanta Schweblin
International Booker,Fiction,2019,Nominee,Four Soldiers,Hubert Mingarelli
International Booker,Fiction,2019,Nominee,Jokes for the Gunmen,Mazen Maarouf
International Booker,Fiction,2019,Nominee,Love in the New Millennium,Can Xue
International Booker,Fiction,2019,Nominee,The Death of Murat Idrissi,Tommy Wieringa
International Booker,Fiction,2019,Nominee,The Remainder,Alia Trabucco
International Booker,Fiction,2019,Nominee,The Faculty of Dreams,Sara Stridsberg
International Booker,Fiction,2019,Nominee,The Shape of the Ruins,Juan Gabriel Vásquez
International Booker,Fiction,2019,Nominee,At Dusk,Hwang Sok-yong
International Booker,Fiction,2018,Nominee,Frankenstein in Baghdad,Ahmed Saadawi
International Booker,Fiction,2018,Nominee,The Impostor,Javier Cercas
International Booker,Fiction,2018,Nominee,Vernon Subutex 1,Virginie Despentes
International Booker,Fiction,2018,Nominee,The Seventh Function of Language,Laurent Binet
International Booker,Fiction,2018,Nominee,"Go, Went, Gone",Jenny Erpenbeck
International Booker,Fiction,2018,Nominee,The Flying Mountain,Christoph Ransmayr
International Booker,Fiction,2018,Nominee,The World Goes On,László Krasznahorkai
International Booker,Fiction,2018,Nominee,The White Book,Han Kang
International Booker,Fiction,2018,Nominee,The Stolen Bicycle,Wu Mingyi
International Booker,Fiction,2018,Nominee,Like a Fading Shadow,Antonio Muñoz Molina
International Booker,Fiction,2018,Nominee,"Die, My Love",Ariana Harwicz
International Booker,Fiction,2018,Nominee,The Dinner Guest,Gabriela Ybarra
International Booker,Fiction,2017,Nominee,War and Turpentine,Stefan Hertmans
International Booker,Fiction,2017,Nominee,Judas,Amos Oz
International Booker,Fiction,2017,Nominee,Compass,Mathias Énard
International Booker,Fiction,2017,Nominee,Fish Have No Feet,Jón Kalman Stefánsson
International Booker,Fiction,2017,Nominee,The Traitor's Niche,Ismail Kadare
International Booker,Fiction,2017,Nominee,Fever Dream,Samanta Schweblin
International Booker,Fiction,2017,Nominee,Black Moses,Alain Mabanckou
International Booker,Fiction,2017,Nominee,The Explosion Chronicles,Yan Lianke
International Booker,Fiction,2017,Nominee,"Mirror, Shoulder, Signal",Dorthe Nors
International Booker,Fiction,2017,Nominee,Bricks and Mortar,Clemens Meyer
International Booker,Fiction,2017,Nominee,The Unseen,Roy Jacobsen
International Booker,Fiction,2017,Nominee,Swallowing Mercury,Wioletta Grzegorzewska
International Booker,Fiction,2016,Nominee,Death by Water,Kenzaburō Ōe
International Booker,Fiction,2016,Nominee,A Strangeness in My Mind,Orhan Pamuk
International Booker,Fiction,2016,Nominee,Mend the Living,Maylis de Kerangal
International Booker,Fiction,2016,Nominee,A General Theory of Oblivion,José Eduardo Agualusa
International Booker,Fiction,2016,Nominee,The Story of the Lost Child,Elena Ferrante
International Booker,Fiction,2016,Nominee,A Whole Life,Robert Seethaler
International Booker,Fiction,2016,Nominee,White Hunger,Aki Ollikainen
International Booker,Fiction,2016,Nominee,Ladivine,Marie NDiaye
International Booker,Fiction,2016,Nominee,Tram 83,Fiston Mwanza Mujila
International Booker,Fiction,2016,Nominee,The Four Books,Yan Lianke
International Booker,Fiction,2016,Nominee,Man Tiger,Eka Kurniawan
International Booker,Fiction,2016,Nominee,A Cup of Rage,Raduan Nassar
