prize,category,year,status,title,author
Locus,Science Fiction Novel,2025,Winner,The Man Who Saw Seconds,Alexander Boldizar
Locus,Science Fiction Novel,2024,Winner,System Collapse,Martha Wells
Locus,Science Fiction Novel,2023,Winner,The Kaiju Preservation Society,John Scalzi
Locus,Science Fiction Novel,2022,Winner,A Desolation Called Peace,Arkady Martine
Locus,Science Fiction Novel,2021,Winner,Network Effect,Martha Wells
Locus,Science Fiction Novel,2020,Winner,The City in the Middle of the Night,Charlie Jane Anders
Locus,Science Fiction Novel,2019,Winner,The Calculating Stars,Mary Robinette Kowal
Locus,Science Fiction Novel,2018,Winner,The Collapsing Empire,John Scalzi
Locus,Science Fiction Novel,2017,Winner,Death's End,Liu Cixin
Locus,Science Fiction Novel,2016,Winner,Ancillary Mercy,Ann Leckie
Locus,Science Fiction Novel,2015,Winner,Ancillary Sword,Ann Leckie
Locus,Science Fiction Novel,2014,Winner,Abaddon's Gate,Daniel Abraham
Locus,Science Fiction Novel,2014,Winner,Abaddon's Gate,James S. A. Corey
Locus,Science Fiction Novel,2014,Winner,Abaddon's Gate,Ty Franck
Locus,Science Fiction Novel,2013,Winner,Redshirts,John Scalzi
Locus,Science Fiction Novel,2012,Winner,Q3052025,China Miéville
Locus,Science Fiction Novel,2011,Winner,All Clear,Connie Willis
Locus,Science Fiction Novel,2011,Winner,Blackout,Connie Willis
Locus,Science Fiction Novel,2010,Winner,Boneshaker,Cherie Priest
Locus,Science Fiction Novel,2009,Winner,Anathem,Neal Stephenson
Locus,Science Fiction Novel,2008,Winner,The Yiddish Policemen's Union,Michael Chabon
Locus,Science Fiction Novel,2007,Winner,Rainbows End,Vernor Vinge
Locus,Science Fiction Novel,2006,Winner,Accelerando,Charles Stross
Locus,Science Fiction Novel,2005,Winner,The Confusion,Neal Stephenson
Locus,Science Fiction Novel,2005,Winner,The System of the World,Neal Stephenson
Locus,Science Fiction Novel,2004,Winner,Ilium,Dan Simmons
Locus,Science Fiction Novel,2003,Winner,The Years of Rice and Salt,Kim Stanley Robinson
Locus,Science Fiction Novel,2002,Winner,Passage,Connie Willis
Locus,Science Fiction Novel,2001,Winner,The Telling,Ursula K. Le Guin
Locus,Science Fiction Novel,2000,Winner,Cryptonomicon,Neal Stephenson
Locus,Science Fiction Novel,1999,Winner,To Say Nothing of the Dog,Connie Willis
Locus,Science Fiction Novel,1998,Winner,The Rise of Endymion,Dan Simmons
Locus,Science Fiction Novel,1997,Winner,Blue Mars,Kim Stanley Robinson
Locus,Science Fiction Novel,1996,Winner,The Diamond Age,Neal Stephenson
Locus,Science Fiction Novel,1995,Winner,Mirror Dance,Lois McMaster Bujold
Locus,Science Fiction Novel,1994,Winner,Green Mars,Kim Stanley Robinson
Locus,Science Fiction Novel,1993,Winner,Doomsday Book,Connie Willis
Locus,Science Fiction Novel,1992,Winner,Barrayar,Lois McMaster Bujold
Locus,Science Fiction Novel,1991,Winner,The Fall of Hyperion,Dan Simmons
Locus,Science Fiction Novel,1990,Winner,Hyperion,Dan Simmons
Locus,Science Fiction Novel,1989,Winner,Cyteen,C. J. Cherryh
Locus,Science Fiction Novel,1988,Winner,The Uplift War,David Brin
Locus,Science Fiction Novel,1987,Winner,Speaker for the Dead,Orson Scott Card
Locus,Science Fiction Novel,1986,Winner,The Postman,David Brin
Locus,Science Fiction Novel,1985,Winner,The Integral Trees,Larry Niven
Locus,Science Fiction Novel,1984,Winner,Startide Rising,David Brin
Locus,Science Fiction Novel,1983,Winner,Foundation's Edge,Isaac Asimov
Locus,Science Fiction Novel,1982,Winner,The Many-Colored Land,Julian May
Locus,Science Fiction Novel,1981,Winner,The Snow Queen,Joan D. Vinge
Locus,Science Fiction Novel,1980,Winner,Titan,John Varley
Locus,Science Fiction Novel,1978,Winner,Gateway,Frederik Pohl
Locus,Science Fiction Novel,2025,Nominee,The Mercy of Gods,James S. A. Corey
Locus,Science Fiction Novel,2025,Nominee,The Bezzle,Cory Doctorow
Locus,Science Fiction Novel,2025,Nominee,Absolution,Jeff VanderMeer
Locus,Science Fiction Novel,2025,Nominee,Alien Clay,Adrian Tchaikovsky
Locus,Science Fiction Novel,2025,Nominee,Rakesfall,Vajra Chandrasekera
Locus,Science Fiction Novel,2025,Nominee,The Imposition of Unnecessary Obstacles,Malka Older
Locus,Science Fiction Novel,2025,Nominee,Space Oddity,Catherynne M. Valente
Locus,Science Fiction Novel,2025,Nominee,Kinning,Nisi Shawl
Locus,Science Fiction Novel,2025,Nominee,The Sentence,Gautam Bhatia
Locus,Science Fiction Novel,2024,Nominee,A Stranger in the Citadel,Tobias S. Buckell
Locus,Science Fiction Novel,2024,Nominee,The Terraformers,Annalee Newitz
Locus,Science Fiction Novel,2024,Nominee,Biography of X,Catherine Lacey
Locus,Science Fiction Novel,2024,Nominee,Translation State,Ann Leckie
Locus,Science Fiction Novel,2024,Nominee,Starter Villain,John Scalzi
Locus,Science Fiction Novel,2024,Nominee,Q123300220,Emily Tesh
Locus,Science Fiction Novel,2024,Nominee,In Ascension,Martin MacInnes
Locus,Science Fiction Novel,2024,Nominee,Bridge,Lauren Beukes
Locus,Science Fiction Novel,2024,Nominee,The Jinn-Bot of Shantiport,Samit Basu
Locus,Science Fiction Novel,2024,Nominee,Cahokia Jazz,Francis Spufford
Locus,Science Fiction Novel,2024,Nominee,Red Team Blues,Cory Doctorow
Locus,Science Fiction Novel,2024,Nominee,Creation Node,Stephen Baxter
Locus,Science Fiction Novel,2024,Nominee,Hopeland,Ian McDonald
Locus,Science Fiction Novel,2024,Nominee,Infinity Gate,Mike Carey
