prize,category,year,status,title,author
National Book Award,Fiction,1950,Winner,The Man with the Golden Arm,Nelson Algren
National Book Award,Fiction,1951,Winner,Collected Stories of William Faulkner,William Faulkner
National Book Award,Fiction,1952,Winner,From Here to Eternity,James Jones
National Book Award,Fiction,1952,Nominee,The Morning Watch,James Agee
National Book Award,Fiction,1952,Nominee,The Grass Harp,Truman Capote
National Book Award,Fiction,1952,Nominee,Requiem for a Nun,William Faulkner
National Book Award,Fiction,1952,Nominee,The Strange Children,Caroline Gordon
National Book Award,Fiction,1952,Nominee,The Holy Sinner,Thomas Mann
National Book Award,Fiction,1952,Nominee,Melville Goodwin USA,John P. Marquand
National Book Award,Fiction,1952,Nominee,The Catcher in the Rye,J. D. Salinger
National Book Award,Fiction,1952,Nominee,Lie Down in Darkness,William Styron
National Book Award,Fiction,1952,Nominee,The Witch Diggers,Jessamyn West
National Book Award,Fiction,1952,Nominee,The Caine Mutiny,Herman Wouk
National Book Award,Fiction,1953,Winner,Invisible Man,Ralph Ellison
National Book Award,Fiction,1953,Nominee,Many Mansions,Isabel Bolton
National Book Award,Fiction,1953,Nominee,Winds of Morning,H. L. Davis
National Book Award,Fiction,1953,Nominee,The Gathering Darkness,Thomas Gallagher
National Book Award,Fiction,1953,Nominee,The Old Man and the Sea,Ernest Hemingway
National Book Award,Fiction,1953,Nominee,Jefferson Selleck,Carl Jonas
National Book Award,Fiction,1953,Nominee,The Landsman,Peter Martin
National Book Award,Fiction,1953,Nominee,A Shower of Summer Days,May Sarton
National Book Award,Fiction,1953,Nominee,The Catherine Wheel,Jean Stafford
National Book Award,Fiction,1953,Nominee,East of Eden,John Steinbeck
National Book Award,Fiction,1953,Nominee,The Build-Up,William Carlos Williams
National Book Award,Fiction,1954,Winner,The Adventures of Augie March,Saul Bellow
National Book Award,Fiction,1955,Winner,A Fable,William Faulkner
National Book Award,Fiction,1955,Nominee,The Dollmaker,Harriette Arnow
National Book Award,Fiction,1955,Nominee,The View from Pompey's Head,Hamilton Basso
National Book Award,Fiction,1955,Nominee,The Night of the Hunter,Davis Grubb
National Book Award,Fiction,1955,Nominee,Pictures from an Institution,Randall Jarrell
National Book Award,Fiction,1955,Nominee,The Last Hunt,Milton Lott
National Book Award,Fiction,1955,Nominee,Lord Grizzly,Frederick Manfred
National Book Award,Fiction,1955,Nominee,The Bad Seed,William March
National Book Award,Fiction,1955,Nominee,The Huge Season,Wright Morris
National Book Award,Fiction,1955,Nominee,The Courts of Memory,Frank Rooney
National Book Award,Fiction,1955,Nominee,Sweet Thursday,John Steinbeck
National Book Award,Fiction,1956,Winner,Ten North Frederick,John O'Hara
National Book Award,Fiction,1956,Nominee,The Spider's House,Paul Bowles
National Book Award,Fiction,1956,Nominee,"The Black Prince, and Other Stories",Shirley Ann Grau
National Book Award,Fiction,1956,Nominee,Andersonville,MacKinlay Kantor
National Book Award,Fiction,1956,Nominee,A Good Man Is Hard to Find and Other Stories,Flannery O'Connor
National Book Award,Fiction,1956,Nominee,Faithful Are the Wounds,May Sarton
National Book Award,Fiction,1956,Nominee,Band of Angels,Robert Penn Warren
National Book Award,Fiction,1956,Nominee,The Bride of the Innisfallen,Eudora Welty
National Book Award,Fiction,1956,Nominee,Marjorie Morningstar,Herman Wouk
National Book Award,Fiction,1957,Winner,The Field of Vision,Wright Morris
National Book Award,Fiction,1957,Nominee,A Walk on the Wild Side,Nelson Algren
National Book Award,Fiction,1957,Nominee,Giovanni's Room,James Baldwin
National Book Award,Fiction,1957,Nominee,Seize the Day,Saul Bellow
National Book Award,Fiction,1957,Nominee,Greenwillow,B. J. Chute
National Book Award,Fiction,1957,Nominee,These Thousand Hills,A. B. Guthrie
National Book Award,Fiction,1957,Nominee,A Single Pebble,John Hersey
National Book Award,Fiction,1957,Nominee,Generations of Men,John Clinton Hunt
National Book Award,Fiction,1957,Nominee,The Last Hurrah,Edwin O'Connor
