prize,category,year,status,title,author
Pulitzer,Fiction,1917,Winner,His Family,Ernest Poole
Pulitzer,Fiction,1918,Winner,The Magnificent Ambersons,Booth Tarkington
Pulitzer,Fiction,1920,Winner,The Age of Innocence,Edith Wharton
Pulitzer,Fiction,1921,Winner,Alice Adams,Booth Tarkington
Pulitzer,Fiction,1922,Winner,One of Ours,Willa Cather
Pulitzer,Fiction,1923,Winner,The Able McLaughlins,Margaret Wilson
Pulitzer,Fiction,1924,Winner,So Big,Edna Ferber
Pulitzer,Fiction,1925,Winner,Arrowsmith,Sinclair Lewis
Pulitzer,Fiction,1926,Winner,Early Autumn,Louis Bromfield
Pulitzer,Fiction,1927,Winner,The Bridge of San Luis Rey,Thornton Wilder
Pulitzer,Fiction,1928,Winner,Scarlet Sister Mary,Julia Peterkin
Pulitzer,Fiction,1929,Winner,Laughing Boy,Oliver La Farge
Pulitzer,Fiction,1930,Winner,Years of Grace,Margaret Ayer Barnes
Pulitzer,Fiction,1931,Winner,The Good Earth,Pearl S. Buck
Pulitzer,Fiction,1932,Winner,The Store,T. S. Stribling
Pulitzer,Fiction,1933,Winner,Lamb in His Bosom,Caroline Miller
Pulitzer,Fiction,1934,Winner,Now in November,Josephine Winslow Johnson
Pulitzer,Fiction,1935,Winner,Honey in the Horn,Harold L. Davis
Pulitzer,Fiction,1936,Winner,Gone with the Wind,Margaret Mitchell
Pulitzer,Fiction,1937,Winner,The Late George Apley,John Phillips Marquand
Pulitzer,Fiction,1938,Winner,The Yearling,Marjorie Kinnan Rawlings
Pulitzer,Fiction,1939,Winner,The Grapes of Wrath,John Steinbeck
Pulitzer,Fiction,1941,Winner,In This Our Life,Ellen Glasgow
Pulitzer,Fiction,1942,Winner,Dragon's Teeth,Upton Sinclair
Pulitzer,Fiction,1943,Winner,Journey in the Dark,Martin Flavin
Pulitzer,Fiction,1944,Winner,A Bell for Adano,John Hersey
Pulitzer,Fiction,1946,Winner,All the King's Men,Robert Penn Warren
Pulitzer,Fiction,1947,Winner,Tales of the South Pacific,James A. Michener
Pulitzer,Fiction,1948,Winner,Guard of Honor,James Gould Cozzens
Pulitzer,Fiction,1949,Winner,The Way West,A. B. Guthrie
Pulitzer,Fiction,1950,Winner,The Town,Conrad Richter
Pulitzer,Fiction,1951,Winner,The Caine Mutiny,Herman Wouk
Pulitzer,Fiction,1952,Winner,The Old Man and the Sea,Ernest Hemingway
Pulitzer,Fiction,1954,Winner,A Fable,William Faulkner
Pulitzer,Fiction,1955,Winner,Andersonville,MacKinlay Kantor
Pulitzer,Fiction,1957,Winner,A Death in the Family,James Agee
Pulitzer,Fiction,1958,Winner,The Travels of Jaimie McPheeters,Robert Lewis Taylor
Pulitzer,Fiction,1959,Winner,Advise and Consent,Allen Drury
Pulitzer,Fiction,1960,Winner,To Kill a Mockingbird,Harper Lee
Pulitzer,Fiction,1961,Winner,The Edge of Sadness,Edwin O'Connor
Pulitzer,Fiction,1962,Winner,The Reivers,William Faulkner
Pulitzer,Fiction,1964,Winner,The Keepers of the House,Shirley Ann Grau
Pulitzer,Fiction,1965,Winner,The Collected Stories,Katherine Anne Porter
Pulitzer,Fiction,1966,Winner,The Fixer,Bernard Malamud
Pulitzer,Fiction,1967,Winner,The Confessions of Nat Turner,William Styron
Pulitzer,Fiction,1968,Winner,House Made of Dawn,N. Scott Momaday
Pulitzer,Fiction,1969,Winner,Collected Stories,Jean Stafford
