prize,category,year,status,title,author
Arthur C. Clarke,Best Novel,2025,Nominee,Annie Bot,Caragh M. O'Brien
Arthur C. Clarke,Best Novel,2025,Nominee,Thirteen Ways to Kill Lulabelle Rock,Maud Woolf
Arthur C. Clarke,Best Novel,2025,Nominee,Extremophile,Ian Green
Arthur C. Clarke,Best Novel,2025,Nominee,Private Rites,Julia Armfield
Arthur C. Clarke,Best Novel,2025,Nominee,The Ministry of Time,Kaliane Bradley
Booker,Fiction,2025,Nominee,The South,Tash Aw
Booker,Fiction,2025,Nominee,Endling,Maria Reva
Booker,Fiction,2025,Nominee,Love Forms,Claire Adam
Booker,Fiction,2025,Nominee,The Loneliness of Sonia and Sunny,Kiran Desai
Booker,Fiction,2025,Nominee,Audition,Katie Kitamura
Booker,Fiction,2025,Nominee,Seascraper,Benjamin Wood
Booker,Fiction,2025,Nominee,The Land in Winter,Andrew Miller
Booker,Fiction,2025,Nominee,The Rest of Our Lives,Benjamin Markovits
Giller,Fiction,2025,Shortlist,You've Changed,Ian Williams
Giller,Fiction,2025,Shortlist,The Road Between Us,Bindu Suresh
Giller,Fiction,2025,Shortlist,Wild Life,Amanda Leduc
Giller,Fiction,2025,Shortlist,The Sideways Life of Denny Voss,Holly Kennedy
Giller,Fiction,2025,Shortlist,Still,Joanna Cockerline
Giller,Fiction,2025,Shortlist,Sugaring Off,tr.) Fanny Britt (Susan Ouriou
Giller,Fiction,2025,Shortlist,"We, the Kindling",Otoniya J. Okot Bitek
Giller,Fiction,2025,Shortlist,An Astonishment of Stars,Kirti Bhadresa
Giller,Fiction,2025,Shortlist,Other Worlds,André Alexis
Giller,Fiction,2025,Shortlist,The Life Cycle of the Common Octopus,Emma Knight
Giller,Fiction,2025,Shortlist,The Paris Express,Emma Donoghue
Giller,Fiction,2025,Shortlist,The Tiger and the Cosmonaut,Eddy Boudel Tan
Giller,Fiction,2025,Shortlist,"We Love You, Bunny",Mona Awad
Giller,Fiction,2025,Winner,Pick a Colour,Souvankham Thammavongsa
Hugo,Best Novel,2025,Nominee,A Sorceress Comes to Call,Ursula Vernon
Hugo,Best Novel,2025,Nominee,Someone You Can Build a Nest In,John Wiswell
Hugo,Best Novel,2025,Nominee,Alien Clay,Adrian Tchaikovsky
Hugo,Best Novel,2025,Nominee,The Ministry of Time,Kaliane Bradley
Hugo,Best Novel,2025,Winner,The Tainted Cup,Robert Jackson Bennett
International Booker,Fiction,2025,Winner,Heart Lamp,Banu Mushtaq
Locus,Science Fiction Novel,2025,Nominee,Absolution,Jeff VanderMeer
Locus,Science Fiction Novel,2025,Nominee,The Mercy of Gods,James S. A. Corey
Locus,Science Fiction Novel,2025,Nominee,The Bezzle,Cory Doctorow
Locus,Science Fiction Novel,2025,Nominee,The Sentence,Gautam Bhatia
Locus,Science Fiction Novel,2025,Nominee,Kinning,Nisi Shawl
Locus,Science Fiction Novel,2025,Nominee,Space Oddity,Catherynne M. Valente
Locus,Science Fiction Novel,2025,Nominee,The Imposition of Unnecessary Obstacles,Malka Older
